run,time_label,endpoint_case,sequence,x_um,y_um,zone,Je_x_Acm-2,Je_y_Acm-2,Je_mag_Acm-2,Jtotal_Acm-2,electron_cm-3,impact_cm-3s-1
RUN096,t100ns,x2-x18_channel-edge,128,9.25,0.13125,channel-drift,-372.600584,268.824306,459.4537002718802,460.402742,231618764000000.0,21333.9591
RUN096,t100ns,x2-x18_channel-edge,129,9.25,0.15,UID-drift,-412.973722,400.173383,575.0530684416857,575.908888,247758436000000.0,16499.3475
RUN096,t100ns,x2-x18_channel-edge,130,9.125,0.175,UID-drift,-118.62744,28.0205913,121.89184984138701,122.87272,71191619600000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,131,9.0,0.2,gate/UID-transition,-102.886255,-13.4841205,103.76609741906817,104.494437,18961449600000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,132,8.875,0.2,gate/UID-transition,-240.516915,-34.567091,242.9882099636102,243.39858,47236045800000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,133,8.75,0.2,gate/UID-transition,-519.023524,-84.473357,525.8527992777332,526.076002,168718862000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,134,8.625,0.175,gate/UID-transition,-476.087828,-89.693313,484.4631155894879,484.602215,267854486000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,135,8.5,0.15,gate/UID-transition,-531.455902,-103.858942,541.5090540369505,541.628515,540954005000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,136,8.375,0.15,gate/UID-transition,-1062.122,-189.656543,1078.922030170258,1079.05718,2338993410000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,137,8.25,0.13125,gate-channel,-1336.78487,-136.417188,1343.72744179865,1343.74412,5557117150000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,138,8.125,0.13125,gate-channel,-1858.97182,-155.244401,1865.4428566954177,1865.45129,1.1137328e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,139,8.0,0.1125,gate-channel,-1601.51045,-103.101859,1604.8257583888844,1604.79785,1.15406667e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,140,7.875,0.1125,gate-channel,-1998.29588,-113.712582,2001.5286596324522,2001.49777,1.73442053e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,141,7.75,0.09375,gate-channel,-1356.38036,-74.5602629,1358.428104022236,1358.39101,1.30627617e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,142,7.625,0.075,gate-channel,-682.295962,-39.9978,683.4673392096695,683.441693,7051746630000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,143,7.5,0.075,gate-channel,-1014.96158,-54.8454641,1016.4423416054847,1016.42086,1.20142879e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,144,7.375,0.05625,gate-channel,-455.946322,-27.7607146,456.79065863963365,456.824686,5670613840000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,145,7.25,0.05625,gate-channel,-729.875919,-41.1844942,731.0369482444812,731.13645,1.03510161e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,146,7.125,0.05625,gate-channel,-1020.54029,-53.7157583,1021.9529667274459,1022.20809,1.64346989e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,147,7.0,0.05625,gate-channel,-1272.98642,-60.3319094,1274.415303108161,1274.98386,2.34322395e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,148,6.875,0.0375,gate-channel,-747.923973,-29.4600147,748.5039491240036,750.910797,1.57598002e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,149,6.75,0.01875,gate-channel,-216.117018,-6.8743762,216.22632244329424,233.365999,5262308130000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,150,6.625,0.01875,gate-channel,-305.444213,-6.61679423,305.51587392649753,324.653399,8659042140000000.0,0.0
RUN096,t100ns,x2-x18_channel-edge,151,6.5,0.01875,gate-channel,-387.230933,-5.70226613,387.2729157984945,408.055742,1.24342756e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,152,6.375,0.01875,gate-channel,-456.738934,-4.70752949,456.763193203388,478.776315,1.62078908e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,153,6.25,0.01875,gate-channel,-514.800569,-3.90776877,514.8154004101699,537.640146,1.97881626e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,154,6.125,0.01875,gate-channel,-564.40703,-3.36317944,564.4170501405556,587.666455,2.31520831e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,155,6.0,0.01875,gate-channel,-608.725016,-3.04508697,608.7326323262579,632.062186,2.63805109e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,156,5.875,0.01875,gate-channel,-650.454876,-2.91312386,650.4613993180526,673.563211,2.9606493e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,157,5.75,0.01875,gate-channel,-691.796848,-2.93141243,691.8030587396747,714.391585,3.29913439e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,158,5.625,0.01875,gate-channel,-734.665888,-3.09113758,734.6723910168172,756.465478,3.67199518e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,159,5.5,0.01875,gate-channel,-781.090386,-3.41648021,781.0978577864967,801.794311,4.10152188e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,160,5.375,0.01875,gate-channel,-834.114154,-4.03553872,834.1239161395005,853.373981,4.61697204e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,161,5.25,0.01875,gate-channel,-900.107921,-5.32437232,900.1236683853749,917.485393,5.26184185e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,162,5.125,0.01875,gate-channel,-996.357719,-8.58179367,996.3946765180339,1011.3613,6.10967746e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,163,5.0,0.01875,gate-channel,-1205.52195,-25.7981445,1205.7979582796804,1233.3868,7.29242107e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,164,4.875,0.01875,contact-extension,-1455.1366,-64.7000556,1456.5742761198974,1495.41734,8.90601172e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,165,4.75,0.01875,contact-extension,-1560.15865,-32.190881,1560.4907132019014,1588.02287,6.51746524e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,166,4.625,0.01875,contact-extension,-1584.6641,-15.0694923,1584.7357506622325,1597.4173,4.98997954e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,167,4.5,0.01875,contact-extension,-1631.78158,-14.6789836,1631.8476023779995,1637.55816,4.37261352e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,168,4.375,0.01875,contact-extension,-1687.14694,-12.7262368,1687.1949366491276,1689.75271,4.14165171e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,169,4.25,0.01875,contact-extension,-1735.74586,-9.7467301,1735.773225180865,1736.88156,4.06538159e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,170,4.125,0.01875,contact-extension,-1773.2051,-7.0479122,1773.219106521354,1773.66588,4.04781835e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,171,4.0,0.01875,contact-extension,-1801.00052,-5.08822237,1801.0077076590087,1801.15536,4.0504232e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,172,3.875,0.01875,contact-extension,-1822.00234,-3.81047382,1822.0063245434162,1822.01946,4.05865167e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,173,3.75,0.01875,contact-extension,-1838.66568,-3.05847333,1838.6682237611474,1838.62092,4.06776086e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,174,3.625,0.01875,contact-extension,-1852.69315,-2.67759084,1852.6950848830008,1852.62054,4.07696914e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,175,3.5,0.01875,contact-extension,-1865.22217,-2.63144198,1865.2240262087562,1865.13718,4.08724672e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,176,3.375,0.01875,contact-extension,-1877.24919,-3.09068703,1877.251734238638,1877.15953,4.10108032e+16,0.0
RUN096,t100ns,x2-x18_channel-edge,177,3.25,0.01875,contact-extension,-1891.27541,-5.5965388,1891.283690438113,1891.18998,4.12578562e+16,0.0
