RUN094_time_s,RUN094_Id,RUN094_ImpactMax,RUN094_HoleMax,RUN094_Tmax,RUN094_JouleMax,RUN092_nearest_time_s,RUN092_Id,RUN092_ImpactMax,RUN092_HoleMax,RUN092_Tmax,RUN092_JouleMax
6.33727128503711e-11,0.0005110373464,1.327885347e+27,2.490978645e+19,323.2558499,2496368441000.0,6.375e-11,4.604953162e-05,2.014182487e+21,3.100746103e+19,303.295837,357288089500.0
6.62812704481768e-11,0.0005048172281,1.217699386e+27,2.46430551e+19,324.0573389,2437270727000.0,6.625e-11,5.204904932e-05,1.684601543e+21,3.076273348e+19,303.2663897,353499982300.0
7.20983856437882e-11,0.0004917445105,1.039975682e+27,2.414052177e+19,325.5545472,2326658430000.0,7.24999999999999e-11,7.869066338e-05,1.243526357e+21,3.020215144e+19,303.2108158,341991645300.0
7.79155008393996e-11,0.0004799027492,1.683425746e+27,2.36756849e+19,326.9432061,2226581182000.0,7.74999999999999e-11,0.000113542357,1.140194125e+21,2.980530648e+19,303.1840364,343463551200.0
8.3732616035011e-11,0.0004686064541,5.441857423e+27,2.324521003e+19,328.254473,2143546176000.0,8.37499999999999e-11,0.0001581092294,5.739009697e+21,2.939418307e+19,303.170798,351147972500.0
8.95497312306224e-11,0.0004563672226,1.491161872e+28,2.284704256e+19,329.5119534,2079548043000.0,8.99999999999999e-11,0.000176186297,2.537041893e+22,2.902507805e+19,303.180038,360635069600.0
9.53668464262338e-11,0.000445264184,3.469655646e+28,2.248017794e+19,330.7326586,2031980084000.0,9.49999999999999e-11,0.0001698519201,7.57491575e+22,2.875094101e+19,303.2020165,367628170300.0
1e-10,0.000437397088,6.007553894e+28,2.220972423e+19,331.6867485,2008581621000.0,1e-10,0.0001582375403,2.089717639e+23,2.848970819e+19,303.2316223,373479854100.0
1.05e-10,0.0004295691799,9.471326038e+28,2.193646595e+19,332.7041816,2976297854000.0,1.05e-10,0.0001489066475,5.358148252e+23,2.823831911e+19,303.2672367,378343718900.0
1.1e-10,0.0004214238522,1.276613453e+29,2.167520493e+19,333.7117849,4068042041000.0,1.07660547454691e-10,0.0001454271162,8.578435255e+23,2.810798944e+19,303.2882254,380604620900.0
1.19607275830321e-10,0.0003992480843,1.512501087e+29,3.085881091e+19,335.6194254,5132104379000.0,1.2362383218284e-10,0.0001355783765,9.793221256e+24,2.735898105e+19,303.4327284,388887736300.0
1.23695911428898e-10,0.0003871383215,1.452610023e+29,3.527185981e+19,336.422601,5066634808000.0,1.2362383218284e-10,0.0001355783765,9.793221256e+24,2.735898105e+19,303.4327284,388887736300.0
1.27784547027476e-10,0.0003754008161,1.34808316e+29,3.875668571e+19,337.2300496,4801269011000.0,1.2362383218284e-10,0.0001355783765,9.793221256e+24,2.735898105e+19,303.4327284,388887736300.0
1.31873182626054e-10,0.0003661339642,1.234967972e+29,4.139112584e+19,338.0544075,4455721105000.0,1.34266022001606e-10,0.000132774484,3.482071183e+25,2.687295258e+19,303.5348904,387632671700.0
1.35961818224631e-10,0.0003605558461,1.132987508e+29,4.335868617e+19,338.9042631,4112359343000.0,1.3745398725088e-10,0.0001322455823,4.842495097e+25,2.672756341e+19,303.5647915,386316040400.0
1.40050453823209e-10,0.0003583515253,1.049225463e+29,4.485490912e+19,339.7781899,3812323876000.0,1.40641952500155e-10,0.0001318478419,6.581978444e+25,2.658216136e+19,303.5940496,384749076900.0
1.48227725020364e-10,0.0003573967349,9.324033934e+28,4.705902525e+19,341.5668378,3373465903000.0,1.47017882998703e-10,0.0001313587518,1.138232965e+26,2.629151601e+19,303.6504256,381168524700.0
1.55219214945635e-10,0.0003554596779,8.696089181e+28,4.853390143e+19,343.1034875,3134896974000.0,1.56581778746526e-10,0.0001309256302,2.224185656e+26,2.585629854e+19,303.747428,457554671700.0
1.62210704870905e-10,0.0003508629637,8.240941747e+28,4.988769462e+19,344.6169139,2970575089000.0,1.62957709245075e-10,0.000130393695,3.184129095e+26,2.556661028e+19,303.8110021,553565039300.0
1.69202194796175e-10,0.000345472754,7.861542044e+28,5.120153824e+19,346.1049711,2844375044000.0,1.69333639743623e-10,0.000129316961,4.296770685e+26,2.529438481e+19,303.8785815,647329768400.0
1.76193684721446e-10,0.0003412444892,7.514403153e+28,5.249334348e+19,347.5730482,2736744630000.0,1.75709570242172e-10,0.0001275332909,5.51602664e+26,2.505629549e+19,303.9540531,736116404200.0
