Vd_applied_V,Vd_internal_V,Id_A_per_um,abs_Id_A_per_um,abs_Id_mA_per_mm,Field_GateRight,Field_FP_End,Field_DrainEdge,ImpactMax,Tmax,Tmin,JouleMax,HeatMax,Tsource,Tdrain,Tbottom
2465.0,2465.0,-1.726935576e-14,1.726935576e-14,1.7269355760000002e-08,347781.8439,339533.9329,-11344.83387,1772098070000000.0,300.0,300.0,3.144478699,3.144478699,300.0,300.0,300.0
2466.0,2466.0,-1.710906382e-14,1.710906382e-14,1.710906382e-08,347636.0869,339235.4243,-11344.83191,1786119600000000.0,300.0,300.0,3.154448799,3.154448799,300.0,300.0,300.0
2467.0,2467.0,-2.727901879e-15,2.727901879e-15,2.727901879e-09,347491.4527,338940.8097,-11344.82995,1800262459000000.0,300.0,300.0,3.164713291,3.164713291,300.0,300.0,300.0
2468.0,2468.0,-1.745307326e-14,1.745307326e-14,1.745307326e-08,347347.9327,338650.0893,-11344.828,1814528236000000.0,300.0,300.0,3.17507068,3.17507068,300.0,300.0,300.0
2469.0,2469.0,-2.51695748e-15,2.51695748e-15,2.51695748e-09,347205.5182,338363.2611,-11344.82605,1828918533000000.0,300.0,300.0,3.185522374,3.185522374,300.0,300.0,300.0
2470.0,2470.0,-1.715508183e-14,1.715508183e-14,1.715508183e-08,347064.2005,338080.3212,-11344.8241,1843434971000000.0,300.0,300.0,3.196069767,3.196069767,300.0,300.0,300.0
2471.0,2471.0,-1.783536479e-14,1.783536479e-14,1.783536479e-08,346923.9704,337801.2635,-11344.82215,1858079180000000.0,300.0,300.0,3.206714238,3.206714238,300.0,300.0,300.0
2472.0,2472.0,-1.741817796e-14,1.741817796e-14,1.741817796e-08,346784.8189,337526.0798,-11344.8202,1872852808000000.0,300.0,300.0,3.217457151,3.217457151,300.0,300.0,300.0
2473.0,2473.0,-1.730463532e-14,1.730463532e-14,1.7304635320000003e-08,346646.7366,337254.7599,-11344.81826,1887757517000000.0,300.0,300.0,3.228299854,3.228299854,300.0,300.0,300.0
2474.0,2474.0,-1.710544666e-14,1.710544666e-14,1.710544666e-08,346509.714,336987.2915,-11344.81632,1902794983000000.0,300.0,300.0,3.239243679,3.239243679,300.0,300.0,300.0
2475.0,2475.0,-1.77995048e-14,1.77995048e-14,1.77995048e-08,346373.7414,336723.6603,-11344.81438,1917966894000000.0,300.0,300.0,3.250289942,3.250289942,300.0,300.0,300.0
2476.0,2476.0,-1.768966023e-14,1.768966023e-14,1.768966023e-08,346238.809,336463.85,-11344.81244,1933274955000000.0,300.0,300.0,3.261439944,3.261439944,300.0,300.0,300.0
2477.0,2477.0,-1.722250172e-14,1.722250172e-14,1.722250172e-08,346104.9069,336207.8424,-11344.8105,1948720884000000.0,300.0,300.0,3.27269497,3.27269497,300.0,300.0,300.0
2478.0,2478.0,-1.702906909e-14,1.702906909e-14,1.702906909e-08,345972.0248,335955.6176,-11344.80857,1964306412000000.0,300.0,300.0,3.284056288,3.284056288,300.0,300.0,300.0
2479.0,2479.0,-1.779885312e-14,1.779885312e-14,1.779885312e-08,345840.1525,335707.1535,-11344.80664,1980033287000000.0,300.0,300.0,3.295525153,3.295525153,300.0,300.0,300.0
2480.0,2480.0,-1.758692599e-14,1.758692599e-14,1.7586925990000002e-08,345709.2795,335462.4267,-11344.80471,1995903268000000.0,300.0,300.0,3.307102803,3.307102803,300.0,300.0,300.0
2481.0,2481.0,-1.74100241e-14,1.74100241e-14,1.74100241e-08,345579.3953,335221.4118,-11344.80278,2011918132000000.0,300.0,300.0,3.318790464,3.318790464,300.0,300.0,300.0
2482.0,2482.0,-1.71769999e-14,1.71769999e-14,1.71769999e-08,345450.489,334984.0818,-11344.80085,2028079667000000.0,300.0,300.0,3.330589346,3.330589346,300.0,300.0,300.0
2483.0,2483.0,-1.770037218e-14,1.770037218e-14,1.770037218e-08,345322.5499,334750.4084,-11344.79893,2044389679000000.0,300.0,300.0,3.342500648,3.342500648,300.0,300.0,300.0
2484.0,2484.0,-1.758506611e-14,1.758506611e-14,1.758506611e-08,345195.567,334520.3616,-11344.79701,2060849987000000.0,300.0,300.0,3.354525553,3.354525553,300.0,300.0,300.0
2485.0,2485.0,-1.726402526e-14,1.726402526e-14,1.7264025260000002e-08,345069.5292,334293.9101,-11344.79509,2077462427000000.0,300.0,300.0,3.366665237,3.366665237,300.0,300.0,300.0
2486.0,2486.0,-1.711039808e-14,1.711039808e-14,1.711039808e-08,344944.4254,334071.0213,-11344.79317,2094228849000000.0,300.0,300.0,3.378920861,3.378920861,300.0,300.0,300.0
2487.0,2487.0,-1.783035283e-14,1.783035283e-14,1.783035283e-08,344820.2443,333851.6613,-11344.79125,2111151121000000.0,300.0,300.0,3.391293578,3.391293578,300.0,300.0,300.0
2488.0,2488.0,-1.732553007e-14,1.732553007e-14,1.732553007e-08,344696.9745,333635.7952,-11344.78934,2128231127000000.0,300.0,300.0,3.403784533,3.403784533,300.0,300.0,300.0
2489.0,2489.0,-1.722134905e-14,1.722134905e-14,1.722134905e-08,344574.6047,333423.3869,-11344.78742,2145470766000000.0,300.0,300.0,3.41639486,3.41639486,300.0,300.0,300.0
2490.0,2490.0,-2.3598867e-15,2.3598867e-15,2.3598867e-09,344453.1233,333214.3993,-11344.78551,2162871958000000.0,300.0,300.0,3.429125689,3.429125689,300.0,300.0,300.0
2491.0,2491.0,-1.765453757e-14,1.765453757e-14,1.7654537570000002e-08,344332.5188,333008.7946,-11344.7836,2180436638000000.0,300.0,300.0,3.441978143,3.441978143,300.0,300.0,300.0
2492.0,2492.0,-1.75112329e-14,1.75112329e-14,1.75112329e-08,344212.7796,332806.534,-11344.78169,2198166760000000.0,300.0,300.0,3.454953339,3.454953339,300.0,300.0,300.0
2493.0,2493.0,-1.707194149e-14,1.707194149e-14,1.707194149e-08,344093.8942,332607.5779,-11344.77979,2216064298000000.0,300.0,300.0,3.468052393,3.468052393,300.0,300.0,300.0
2494.0,2494.0,-1.778187085e-14,1.778187085e-14,1.778187085e-08,343975.8508,332411.8862,-11344.77788,2234131246000000.0,300.0,300.0,3.481276417,3.481276417,300.0,300.0,300.0
2495.0,2495.0,-1.757777566e-14,1.757777566e-14,1.757777566e-08,343858.6378,332219.418,-11344.77598,2252369617000000.0,300.0,300.0,3.494626521,3.494626521,300.0,300.0,300.0
2496.0,2496.0,-1.727330287e-14,1.727330287e-14,1.727330287e-08,343742.2436,332030.1322,-11344.77408,2270781446000000.0,300.0,300.0,3.508103817,3.508103817,300.0,300.0,300.0
