RUN121_time_s,RUN121_Id,RUN121_ImpactMax,RUN121_HoleMax,RUN121_Tmax,RUN121_Tmin,RUN121_JouleMax,RUN121_HeatMax,RUN096_nearest_time_s,RUN096_Id,RUN096_ImpactMax,RUN096_HoleMax,RUN096_Tmax,RUN096_Tmin,RUN096_JouleMax,RUN096_HeatMax
1.62e-11,0.0001016417821,6.651614037e+24,3.209788707e+19,303.7088722,299.9998128,2821580254000.0,2820676104000.0,1.62e-11,9.291212142e-05,6.547631681e+26,3.184780297e+19,304.4846755,299.9998297,3563670738000.0,3562787114000.0
1.7e-11,0.0001010025059,9.158751466e+24,3.190372414e+19,303.8237532,299.9998079,2701736379000.0,2701184732000.0,1.7e-11,9.468632629e-05,8.774591861e+26,3.166370395e+19,304.6472442,299.9998244,3445476502000.0,3444593751000.0
1.78e-11,0.0001016772059,1.282690848e+25,3.171246673e+19,303.9446722,299.9998033,2596585322000.0,2596004334000.0,1.78e-11,9.860191222e-05,1.188381227e+27,3.148140101e+19,304.8010906,299.9998193,3374019387000.0,3373472560000.0
1.82e-11,0.0001025005028,1.531680398e+25,3.161805896e+19,304.0005021,299.999801,2551340348000.0,2550760580000.0,1.82e-11,0.0001014844345,1.389129467e+27,3.139111486e+19,304.8722846,299.9998169,3349580299000.0,3349033118000.0
1.86e-11,0.0001038143533,1.83442957e+25,3.152449696e+19,304.0542043,299.9997987,2518269797000.0,2517929836000.0,1.86e-11,0.0001050935308,1.62721054e+27,3.130146737e+19,304.9505733,299.9998144,3334341318000.0,3333796884000.0
1.9e-11,0.0001057239461,2.195816135e+25,3.143179491e+19,304.106199,299.9997965,2491057390000.0,2490707243000.0,1.9e-11,0.0001094886321,1.902729066e+27,3.121249056e+19,305.027253,299.999812,3328890797000.0,3328353902000.0
1.94e-11,0.0001083687764,2.618848899e+25,3.133996314e+19,304.1633356,299.9997942,2470163788000.0,2469809959000.0,1.94e-11,0.0001147276614,2.218028421e+27,3.112421068e+19,305.1012511,299.9998096,3334043447000.0,3333514518000.0
1.98e-11,0.0001118880907,3.110285443e+25,3.124900864e+19,304.2198906,299.999792,2456364496000.0,2456010091000.0,1.98e-11,0.0001208599292,2.579384228e+27,3.103664915e+19,305.1730177,299.9998072,3350439878000.0,3349919715000.0
2e-11,0.0001140122454,3.387600208e+25,3.12038617e+19,304.2476066,299.9997909,2451833036000.0,2451388184000.0,2e-11,0.000124253449,2.769518801e+27,3.099314306e+19,305.2081684,299.999806,3362368936000.0,3361738541000.0
2.1e-11,0.0001287799341,4.932276812e+25,3.098143531e+19,304.3816316,299.9997854,2463338973000.0,2462983642000.0,2.1e-11,0.0001452976873,3.842622879e+27,3.077843067e+19,305.3906827,299.9998,3467880814000.0,3467359226000.0
2.3e-11,0.0001808141367,8.261916456e+25,3.055294528e+19,304.6472163,299.9997744,2590574616000.0,2590070335000.0,2.3e-11,0.0002071608347,6.082900321e+27,3.036339066e+19,305.7469904,299.9997882,3786640787000.0,3786190085000.0
2.48166163676801e-11,0.0002553535353,1.005669732e+26,3.018213075e+19,304.8797199,299.9997643,2677613388000.0,2677289793000.0,2.5e-11,0.0003008563113,7.295789451e+27,2.996762941e+19,306.1010311,299.999776,3996411444000.0,3995947953000.0
2.66332327353602e-11,0.0003582433986,9.915028662e+25,2.982796735e+19,305.1160393,299.9997541,2612904716000.0,2612792440000.0,2.7e-11,0.0004488856621,6.885180757e+27,2.959066203e+19,306.4565051,299.9997635,3901880502000.0,3901678307000.0
2.75415409192003e-11,0.0004096001863,8.966948315e+25,2.965685597e+19,305.2288859,299.9997488,2528019372000.0,2527812671000.0,2.8e-11,0.0005313818953,6.258482694e+27,2.940894515e+19,306.6348254,299.9997571,3759050707000.0,3758993175000.0
2.84498491030403e-11,0.0004593218336,8.127939616e+25,2.948957714e+19,305.3453102,299.9997434,2433580294000.0,2433459941000.0,2.8e-11,0.0005313818953,6.258482694e+27,2.940894515e+19,306.6348254,299.9997571,3759050707000.0,3758993175000.0
2.93581572868804e-11,0.0005021371902,7.211316534e+25,2.932604194e+19,305.4600275,299.9997376,2337351278000.0,2337255485000.0,2.9e-11,0.0005985664601,5.586744674e+27,2.92316066e+19,306.8302694,299.9997504,3599461515000.0,3599448356000.0
3e-11,0.0005250531263,6.619745441e+25,2.921269745e+19,305.5394607,299.9997334,2276322714000.0,2276220170000.0,3e-11,0.0006462730171,4.95298766e+27,2.905859483e+19,307.2992353,299.999743,3455697766000.0,3455668109000.0
3.1e-11,0.0005455669616,5.869026752e+25,2.903968918e+19,305.6657039,299.9997264,2199057979000.0,2198926171000.0,3.1e-11,0.0006711164427,4.435140275e+27,2.888987263e+19,307.7689282,299.9997351,3340748577000.0,3340675435000.0
3.3e-11,0.0005469719392,4.931880929e+25,2.870632751e+19,305.9181645,299.9997117,2115577338000.0,2115485080000.0,3.3e-11,0.0006690615451,3.765741677e+27,2.856497671e+19,308.6773248,299.9997181,3191102500000.0,3190937361000.0
3.49236393225566e-11,0.0005267784962,4.461371187e+25,2.840065723e+19,306.4562992,299.9996974,2083944962000.0,2083817080000.0,3.5e-11,0.0006394603417,3.424400297e+27,2.825584494e+19,309.556094,299.9997012,3111157266000.0,3111068364000.0
3.68472786451132e-11,0.0005132394925,4.180261828e+25,2.810818253e+19,306.9922819,299.9996839,2064794137000.0,2064655687000.0,3.7e-11,0.0006117062435,3.17547217e+27,2.796074639e+19,310.3876042,299.9996855,3064766716000.0,3064652740000.0
3.87709179676698e-11,0.000501609262,3.934539061e+25,2.782741325e+19,307.5052819,299.9996712,2043807398000.0,2043669756000.0,3.9e-11,0.0005923345252,2.949667118e+27,2.767788926e+19,311.1777127,299.9996708,3015261711000.0,3015133971000.0
4.06945572902264e-11,0.0004950941357,3.688066259e+25,2.755716521e+19,308.0112087,299.9996588,2018101459000.0,2017966330000.0,4.1e-11,0.0005793192695,2.733662612e+27,2.740586645e+19,311.9444687,299.9996568,2960568364000.0,2960426460000.0
4.2618196612783e-11,0.0004903337316,3.448671853e+25,2.729657032e+19,308.4932662,299.9996466,1989856784000.0,1989721554000.0,4.3e-11,0.0005681367272,2.533684579e+27,2.714366599e+19,312.6719061,299.999643,2905268337000.0,2905108876000.0
4.64654752578962e-11,0.0004812733706,3.031056964e+25,2.680169995e+19,309.394465,299.9996226,1937846439000.0,1937701250000.0,4.7e-11,0.0005475320982,2.19992455e+27,2.664583011e+19,314.0233318,299.9996161,2813112335000.0,2813012391000.0
5e-11,0.0004731026378,2.726909353e+25,2.637533641e+19,310.1632201,299.9996013,1902371232000.0,1902212329000.0,5e-11,0.0005353887462,2.001356869e+27,2.629378701e+19,314.9644892,299.9995967,2765788613000.0,2765663085000.0
