run,time_label,endpoint_case,sequence,x_um,y_um,zone,Je_x_Acm-2,Je_y_Acm-2,Je_mag_Acm-2,Jtotal_Acm-2,electron_cm-3,impact_cm-3s-1
RUN096,t50ns,x2-x18_channel-edge,66,11.1416016,0.009375,channel-drift,-8427.21087,59.4071463,8427.420261057217,8429.82248,2620503660000000.0,2.251978e+19
RUN096,t50ns,x2-x18_channel-edge,67,11.1347656,0.009375,channel-drift,-8488.60706,60.138921,8488.82008932342,8491.23894,2639585610000000.0,2.13278693e+19
RUN096,t50ns,x2-x18_channel-edge,68,11.1279297,0.009375,channel-drift,-8550.54411,60.9395412,8550.76126463237,8553.19669,2658824920000000.0,2.01983892e+19
RUN096,t50ns,x2-x18_channel-edge,69,11.1210938,0.009375,channel-drift,-8613.07754,61.7877026,8613.29916061465,8615.75111,2678244030000000.0,1.91283886e+19
RUN096,t50ns,x2-x18_channel-edge,70,11.1142579,0.009375,channel-drift,-8676.24438,62.6779982,8676.470772897235,8678.93918,2697855790000000.0,1.81149707e+19
RUN096,t50ns,x2-x18_channel-edge,71,11.1074219,0.009375,channel-drift,-8740.06953,63.6030225,8740.300952124337,8742.78575,2717670170000000.0,1.71552421e+19
RUN096,t50ns,x2-x18_channel-edge,72,11.1005859,0.009375,channel-drift,-8804.57228,64.5651544,8804.809009450864,8807.31012,2737693100000000.0,1.62464901e+19
RUN096,t50ns,x2-x18_channel-edge,73,11.09375,0.009375,channel-drift,-8869.76959,65.5633687,8870.011901626967,8872.52924,2757930400000000.0,1.53860723e+19
RUN096,t50ns,x2-x18_channel-edge,74,11.0869141,0.009375,channel-drift,-8935.67874,66.6045046,8935.926963920476,8938.46044,2778386610000000.0,1.45715178e+19
RUN096,t50ns,x2-x18_channel-edge,75,11.0800781,0.009375,channel-drift,-9002.31732,67.6897999,9002.571801378897,9005.12131,2799068230000000.0,1.38004262e+19
RUN096,t50ns,x2-x18_channel-edge,76,11.0732422,0.009375,channel-drift,-9069.70603,68.8284645,9069.96719002576,9072.53264,2819980230000000.0,1.30705739e+19
RUN096,t50ns,x2-x18_channel-edge,77,11.0664063,0.009375,channel-drift,-9137.86668,70.0254861,9138.134986426812,9140.71626,2841129630000000.0,1.23798001e+19
RUN096,t50ns,x2-x18_channel-edge,78,11.0595704,0.009375,channel-drift,-9206.82814,71.2950645,9207.104180235929,9209.70116,2862523580000000.0,1.17261026e+19
RUN096,t50ns,x2-x18_channel-edge,79,11.0527344,0.009375,channel-drift,-9276.62478,72.6472309,9276.909233633123,9279.5218,2884172630000000.0,1.11075466e+19
RUN096,t50ns,x2-x18_channel-edge,80,11.0458984,0.009375,channel-drift,-9347.30086,74.1021229,9347.594583205619,9350.2226,2906088210000000.0,1.05223497e+19
RUN096,t50ns,x2-x18_channel-edge,81,11.0390625,0.009375,channel-drift,-9418.914,75.6783751,9419.218022524681,9421.86136,2928286230000000.0,9.96879883e+18
RUN096,t50ns,x2-x18_channel-edge,82,11.0322266,0.009375,channel-drift,-9491.5393,77.4056674,9491.854925186653,9494.51345,2950786380000000.0,9.44530747e+18
RUN096,t50ns,x2-x18_channel-edge,83,11.0253906,0.009375,channel-drift,-9565.27302,79.3125633,9565.601833122533,9568.2754,2973616190000000.0,8.95034984e+18
RUN096,t50ns,x2-x18_channel-edge,84,11.0185547,0.009375,channel-drift,-9640.24065,81.4413615,9640.584654743476,9643.2731,2996808740000000.0,8.48252784e+18
RUN096,t50ns,x2-x18_channel-edge,85,11.0117188,0.009375,channel-drift,-9716.60135,83.83741,9716.963028958038,9719.66621,3020408220000000.0,8.04049905e+18
RUN096,t50ns,x2-x18_channel-edge,86,11.0048829,0.009375,channel-drift,-9794.56357,86.5644248,9794.94609104165,9797.66385,3044470440000000.0,7.62304023e+18
RUN096,t50ns,x2-x18_channel-edge,87,10.9980469,0.009375,channel-drift,-9874.39512,89.6933836,9874.802473413907,9877.53465,3069069340000000.0,7.22899174e+18
RUN096,t50ns,x2-x18_channel-edge,88,10.9912109,0.009375,channel-drift,-9956.44376,93.3196107,9956.881082737915,9959.62749,3094298730000000.0,6.85731587e+18
RUN096,t50ns,x2-x18_channel-edge,89,10.984375,0.009375,channel-drift,-10041.1615,97.55476,10041.635384750878,10044.3959,3120281530000000.0,6.50704865e+18
RUN096,t50ns,x2-x18_channel-edge,90,10.9775391,0.009375,channel-drift,-10129.1367,102.543929,10129.655746601738,10132.4301,3147176580000000.0,6.17734265e+18
RUN096,t50ns,x2-x18_channel-edge,91,10.9707031,0.009375,channel-drift,-10221.1338,108.459506,10221.709231921253,10224.4973,3175192550000000.0,5.8674331e+18
RUN096,t50ns,x2-x18_channel-edge,92,10.9638672,0.009375,channel-drift,-10318.1515,115.523382,10318.798187228052,10321.5998,3204598690000000.0,5.57669047e+18
RUN096,t50ns,x2-x18_channel-edge,93,10.9570313,0.009375,channel-drift,-10421.4911,124.006092,10422.228852708633,10425.0437,3235747770000000.0,5.30458671e+18
RUN096,t50ns,x2-x18_channel-edge,94,10.9501954,0.009375,channel-drift,-10532.8605,134.254848,10533.716090567077,10536.544,3269100030000000.0,5.05075176e+18
RUN096,t50ns,x2-x18_channel-edge,95,10.9433594,0.009375,channel-drift,-10654.5005,146.698952,10655.510381348147,10658.3512,3305260850000000.0,4.81495742e+18
RUN096,t50ns,x2-x18_channel-edge,96,10.9365234,0.009375,channel-drift,-10789.3633,161.888279,10790.577752570272,10793.4312,3345024290000000.0,4.59717893e+18
RUN096,t50ns,x2-x18_channel-edge,97,10.9296875,0.009375,channel-drift,-10941.3494,180.513418,10942.838378910583,10945.704,3389438540000000.0,4.39759484e+18
RUN096,t50ns,x2-x18_channel-edge,98,10.9228516,0.009375,channel-drift,-11115.6257,203.460133,11117.487608638063,11120.3654,3439889180000000.0,4.21665214e+18
