accepted_index,Vdrain_V,Idrain_A_per_um,abs_Idrain_A_per_um,accepted_step_V
165,735.0,1.176678578e-15,1.176678578e-15,5.0
166,740.0,1.160437353e-15,1.160437353e-15,5.0
167,745.0,1.119216723e-15,1.119216723e-15,5.0
168,750.0,1.279963469e-15,1.279963469e-15,5.0
169,755.0,1.248391139e-15,1.248391139e-15,5.0
170,760.0,1.328165163e-15,1.328165163e-15,5.0
171,765.0,1.189054127e-15,1.189054127e-15,5.0
172,770.0,1.193230659e-15,1.193230659e-15,5.0
173,775.0,1.22783885e-15,1.22783885e-15,5.0
174,780.0,1.413837002e-15,1.413837002e-15,5.0
175,785.0,1.344860411e-15,1.344860411e-15,5.0
176,790.0,1.46420718e-15,1.46420718e-15,5.0
177,795.0,1.534311576e-15,1.534311576e-15,5.0
178,800.0,1.736150292e-15,1.736150292e-15,5.0
179,805.0,1.926461148e-15,1.926461148e-15,5.0
180,810.0,2.000980485e-15,2.000980485e-15,5.0
181,815.0,2.042857541e-15,2.042857541e-15,5.0
182,820.0,2.217442072e-15,2.217442072e-15,5.0
183,825.0,2.276454497e-15,2.276454497e-15,5.0
184,830.0,3.174484526e-15,3.174484526e-15,5.0
185,835.0,3.433344199e-15,3.433344199e-15,5.0
186,840.0,4.007319276e-15,4.007319276e-15,5.0
187,845.0,4.559723837e-15,4.559723837e-15,5.0
188,850.0,4.956443693e-15,4.956443693e-15,5.0
189,855.0,6.453936886e-15,6.453936886e-15,5.0
190,860.0,9.674297812e-15,9.674297812e-15,5.0
191,865.0,1.236682334e-14,1.236682334e-14,5.0
192,870.0,1.817641255e-14,1.817641255e-14,5.0
193,875.0,2.750434178e-14,2.750434178e-14,5.0
194,877.5,-1.558702367e-13,1.558702367e-13,2.5
195,878.75,5.51448259e-14,5.51448259e-14,1.25
196,878.90625,6.18389879e-14,6.18389879e-14,0.15625
197,878.9453125,6.49206571e-14,6.49206571e-14,0.0390625
198,878.9501953,6.677671517e-14,6.677671517e-14,0.004882800000018506
199,878.9508057,6.807961192e-14,6.807961192e-14,0.0006104000000277665
