"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
20.7734, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1476.03, 11.578, 1.2381, 1.73604e+06, 1.70515e+13, 332.785, 96109.4, 3.48428e-08, -1474.59, -1477.54, 5e+15, 5.52727e+10, -1.7302e+06, 142279, 300, 11.578, 112.502, 1.2381, 1.2381, 5e+15, 3.36694e-08, 1.38389e-09, 0.449376, 3.48428e-08, -1.10292e-09, -3.35647e-08, -3.46676e-08, 8.35898e-10, 2.65414e-09, 3.49004e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.46676e-08, 3.49004e-09, 0, 5e+15, 11.5608, 80.6457, 0, 0
20.9687, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1509.87, 11.5405, 1.2381, 1.74188e+06, 1.82765e+13, 342.211, 99473.7, 3.60777e-08, -1508.44, -1511.39, 5e+15, 5.68395e+10, -1.73607e+06, 142135, 300, 11.5405, 112.499, 1.2381, 1.2381, 5e+15, 3.49229e-08, 1.38564e-09, 0.449279, 3.60777e-08, -1.08147e-09, -3.48142e-08, -3.58957e-08, 8.66273e-10, 2.75311e-09, 3.61938e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.58957e-08, 3.61938e-09, 0, 5e+15, 10.9721, 83.4497, 0, 0
21.1641, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1543.84, 11.5002, 1.2381, 1.74756e+06, 1.95544e+13, 320.625, 102708, 3.72503e-08, -1542.41, -1545.36, 5e+15, 5.32712e+10, -1.74179e+06, 141891, 300, 11.5002, 112.553, 1.2381, 1.2381, 5e+15, 3.61216e-08, 1.33141e-09, 0.449187, 3.72503e-08, -1.06199e-09, -3.60097e-08, -3.70717e-08, 8.0301e-10, 2.84039e-09, 3.6434e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.70717e-08, 3.6434e-09, 0, 5e+15, 12.5626, 86.2528, 0, 0
21.3594, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1577.91, 11.4645, 1.2381, 1.75326e+06, 2.08086e+13, 329.871, 105728, 3.83509e-08, -1576.48, -1579.43, 5e+15, 5.48076e+10, -1.7475e+06, 141939, 300, 11.4645, 112.526, 1.2381, 1.2381, 5e+15, 3.72389e-08, 1.3345e-09, 0.449099, 3.83509e-08, -1.04222e-09, -3.71229e-08, -3.81651e-08, 8.33468e-10, 2.937e-09, 3.77047e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.81651e-08, 3.77047e-09, 0, 5e+15, 11.8848, 89.1389, 0, 0
21.5547, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1612.1, 11.4255, 1.2381, 1.75889e+06, 2.20877e+13, 309.275, 108452, 3.93288e-08, -1610.67, -1613.62, 5e+15, 5.13993e+10, -1.75316e+06, 141910, 300, 11.4255, 112.551, 1.2381, 1.2381, 5e+15, 3.82408e-08, 1.28367e-09, 0.449016, 3.93288e-08, -1.02403e-09, -3.81215e-08, -3.91455e-08, 7.74064e-10, 3.01809e-09, 3.79216e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.91455e-08, 3.79216e-09, 0, 5e+15, 13.5391, 92.0708, 0, 0
21.75, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1646.4, 11.3903, 1.2381, 1.76465e+06, 2.3309e+13, 318.43, 110778, 4.01666e-08, -1644.96, -1647.92, 5e+15, 5.29195e+10, -1.75891e+06, 142189, 300, 11.3903, 112.494, 1.2381, 1.2381, 5e+15, 3.90937e-08, 1.28826e-09, 0.44894, 4.01666e-08, -1.0057e-09, -3.89702e-08, -3.99759e-08, 8.05089e-10, 3.10491e-09, 3.91e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.99759e-08, 3.91e-09, 0, 5e+15, 12.765, 95.1454, 0, 0
21.9453, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1680.81, 11.3512, 1.2381, 1.77047e+06, 2.45167e+13, 298.575, 112603, 4.08081e-08, -1679.38, -1682.33, 5e+15, 4.96309e+10, -1.76473e+06, 142418, 300, 11.3512, 112.484, 1.2381, 1.2381, 5e+15, 3.97575e-08, 1.24016e-09, 0.448872, 4.08081e-08, -9.88558e-10, -3.96308e-08, -4.06194e-08, 7.48831e-10, 3.17117e-09, 3.92e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -4.06194e-08, 3.92e-09, 0, 5e+15, 14.4937, 98.3332, 0, 0
22.1406, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1715.33, 11.315, 1.2381, 1.77653e+06, 2.56218e+13, 307.736, 113814, 4.12314e-08, -1713.9, -1716.86, 5e+15, 5.1151e+10, -1.77077e+06, 142979, 300, 11.315, 112.387, 1.2381, 1.2381, 5e+15, 4.01943e-08, 1.24643e-09, 0.448813, 4.12314e-08, -9.71424e-10, -4.00636e-08, -4.10351e-08, 7.8097e-10, 3.23836e-09, 4.01933e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -4.10351e-08, 4.01933e-09, 0, 5e+15, 13.6138, 101.75, 0, 0
22.3359, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1749.98, 11.2742, 1.2381, 1.7828e+06, 2.66654e+13, 288.368, 114299, 4.13785e-08, -1748.55, -1751.5, 5e+15, 4.79404e+10, -1.77701e+06, 143520, 300, 11.2742, 112.335, 1.2381, 1.2381, 5e+15, 4.03624e-08, 1.20037e-09, 0.448766, 4.13785e-08, -9.55071e-10, -4.0229e-08, -4.11841e-08, 7.27133e-10, 3.27885e-09, 4.00598e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -4.11841e-08, 4.00598e-09, 0, 5e+15, 15.4383, 105.376, 0, 0
22.5312, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1784.75, 11.2353, 1.2381, 1.78948e+06, 2.75525e+13, 297.636, 113949, 4.12293e-08, -1783.32, -1786.27, 5e+15, 4.94768e+10, -1.78364e+06, 144427, 300, 11.2353, 112.184, 1.2381, 1.2381, 5e+15, 4.02253e-08, 1.20855e-09, 0.448731, 4.12293e-08, -9.3889e-10, -4.00885e-08, -4.10274e-08, 7.60975e-10, 3.31452e-09, 4.0755e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -4.10274e-08, 4.0755e-09, 0, 5e+15, 14.4413, 109.353, 0, 0
